workLat,workLong,workTweets,homeLat,homeLong,homeTweets,#tweets,userID,homeCountry,workCountry,homeCanton,workCanton,distance,closer to home,closer to work,routeTime
47.41,9.19,25.0,47.41,9.19,41.0,100,70251991,Suisse,Suisse,Sankt Gallen,Sankt Gallen,0.0,"('Zurich', 48.39014094263557)","('Zurich', 48.39014094263557)",0.0
46.07,6.57,15.0,46.08,6.57,15.0,100,283440943,France,France,-,-,1.1112511347440135,"('Annemasse', 28.571855010308788)","('Annemasse', 29.085366517412528)",3.85
47.37,8.54,54.0,47.37,8.54,20.0,100,304614459,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 0.8386823848142152)","('Zurich', 0.8386823848142152)",0.0
46.2,6.16,50.0,46.2,6.16,34.0,100,1640784745,Suisse,Suisse,Genève,Genève,0.0,"('Geneva', 0.5153270743844632)","('Geneva', 0.5153270743844632)",0.0
47.36,7.9,37.0,47.36,7.9,63.0,100,1384072519,Suisse,Suisse,Solothurn,Solothurn,0.0,"('Basel', 32.18026355705035)","('Basel', 32.18026355705035)",0.0
47.2,8.45,79.0,47.2,8.45,16.0,100,2594880773,Suisse,Suisse,Zug,Zug,0.0,"('Luzern', 18.977223681531726)","('Luzern', 18.977223681531726)",0.0
47.54,9.3,15.0,47.54,9.3,85.0,100,1286809488,Suisse,Suisse,Thurgau,Thurgau,0.0,"('Zurich', 59.55666143893669)","('Zurich', 59.55666143893669)",0.0
47.38,8.54,67.0,47.38,8.54,30.0,100,522009835,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 1.6615021190898316)","('Zurich', 1.6615021190898316)",0.0
46.36,6.66,26.0,46.36,6.66,30.0,100,552093991,France,France,-,-,0.0,"('Lausanne', 19.264813895055006)","('Lausanne', 19.264813895055006)",0.0
46.23,7.36,28.0,46.23,7.37,17.0,100,453014694,Suisse,Suisse,Valais - Wallis,Valais - Wallis,0.7687248254505923,"('Sion', 1.5805339707161008)","('Sion', 0.8516928200460542)",2.8
47.56,7.58,24.0,47.56,7.58,76.0,100,1520740062,Suisse,Suisse,Basel-Stadt,Basel-Stadt,0.0,"('Basel', 1.6743361716465146)","('Basel', 1.6743361716465146)",0.0
46.62,9.98,42.0,46.62,9.98,58.0,100,1000141590,Suisse,Suisse,Graubünden - Grigioni - Grischun,Graubünden - Grigioni - Grischun,0.0,"('Varese', 125.76723882325584)","('Varese', 125.76723882325584)",0.0
47.2,5.94,68.0,47.2,5.94,29.0,100,353656867,France,France,-,-,0.0,"('Pontarlier', 45.54989655475243)","('Pontarlier', 45.54989655475243)",0.0
46.19,6.74,13.0,46.2,6.77,11.0,100,489605957,France,France,-,-,2.561269745255925,"('Lausanne', 37.875547166117336)","('Lausanne', 38.56116082254647)",24.65
45.84,8.8,21.0,45.84,8.8,28.0,100,139108165,Italia,Italia,-,-,0.0,"('Varese', 3.2210178339599143)","('Varese', 3.2210178339599143)",0.0
47.4,8.62,68.0,47.4,8.62,32.0,100,540170698,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 6.4388330222804955)","('Zurich', 6.4388330222804955)",0.0
47.55,7.59,31.0,47.55,7.59,69.0,100,298189251,Suisse,Suisse,Basel-Stadt,Basel-Stadt,0.0,"('Basel', 2.001581299278319)","('Basel', 2.001581299278319)",0.0
47.66,6.88,40.0,47.66,6.88,37.0,100,3179405896,France,France,-,-,0.0,"('Mulhouse', 35.342941686083854)","('Mulhouse', 35.342941686083854)",0.0
