workLat,workLong,workTweets,homeLat,homeLong,homeTweets,#tweets,userID
47.41,9.19,25.0,47.41,9.19,41.0,100,70251991
46.07,6.57,15.0,46.08,6.57,15.0,100,283440943
47.37,8.54,54.0,47.37,8.54,20.0,100,304614459
46.2,6.16,50.0,46.2,6.16,34.0,100,1640784745
47.36,7.9,37.0,47.36,7.9,63.0,100,1384072519
47.2,8.45,79.0,47.2,8.45,16.0,100,2594880773
47.54,9.3,15.0,47.54,9.3,85.0,100,1286809488
47.38,8.54,67.0,47.38,8.54,30.0,100,522009835
46.36,6.66,26.0,46.36,6.66,30.0,100,552093991
46.23,7.36,28.0,46.23,7.37,17.0,100,453014694
47.56,7.58,24.0,47.56,7.58,76.0,100,1520740062
46.62,9.98,42.0,46.62,9.98,58.0,100,1000141590
47.2,5.94,68.0,47.2,5.94,29.0,100,353656867
46.19,6.74,13.0,46.2,6.77,11.0,100,489605957
45.84,8.8,21.0,45.84,8.8,28.0,100,139108165
47.4,8.62,68.0,47.4,8.62,32.0,100,540170698
47.55,7.59,31.0,47.55,7.59,69.0,100,298189251
47.66,6.88,40.0,47.66,6.88,37.0,100,3179405896
47.38,8.54,68.0,47.38,8.54,27.0,100,319524335
46.15,6.66,85.0,46.15,6.66,15.0,100,541946192
47.14,6.68,25.0,47.34,6.74,11.0,100,736829012190826496
47.38,8.54,49.0,47.38,8.54,20.0,100,527842264
47.63,6.04,61.0,47.63,6.04,34.0,100,2147772248
46.21,6.15,21.0,46.21,6.15,27.0,100,2356272791
46.05,6.42,23.0,46.05,6.42,28.0,100,583537204
45.93,6.6,46.0,45.93,6.6,17.0,100,441108054
47.71,9.15,32.0,47.71,9.15,68.0,100,3312148390
47.64,9.17,13.0,47.64,9.17,18.0,100,1498636076
47.41,6.29,48.0,47.41,6.29,44.0,100,2845067646
45.94,9.17,34.0,45.94,9.17,66.0,100,344910420
47.59,7.56,51.0,47.59,7.56,48.0,100,978109536
46.21,6.11,34.0,46.21,6.11,37.0,100,414918500
46.2,6.31,16.0,46.2,6.31,75.0,100,1043057948
47.38,8.54,19.0,47.39,8.62,16.0,100,23299229
47.38,8.54,16.0,47.38,8.54,12.0,100,2972939609
45.79,6.22,28.0,45.79,6.22,32.0,100,23298540
47.41,8.53,65.0,47.41,8.53,34.0,100,2984157329
46.23,6.14,48.0,46.21,6.15,19.0,101,138235597
47.55,6.81,41.0,47.55,6.81,49.0,101,584214954
47.56,7.58,30.0,47.56,7.58,69.0,101,3549601
47.05,8.8,40.0,47.05,8.8,52.0,101,599141002
47.2,5.94,57.0,47.2,5.94,44.0,101,337966870
47.65,6.86,14.0,47.63,6.92,54.0,101,135565487
46.34,6.44,50.0,46.34,6.44,51.0,101,1165294681
46.74,7.64,36.0,46.74,7.64,40.0,101,46361985
47.76,8.98,73.0,47.76,8.98,28.0,101,2932463801
47.23,8.66,27.0,47.23,8.66,40.0,101,2729097718
47.24,9.63,52.0,47.24,9.63,49.0,101,734440692
47.33,8.62,10.0,47.33,8.62,21.0,101,529261177
46.21,6.11,36.0,46.21,6.11,43.0,101,910568120
47.0,6.94,40.0,47.0,6.94,44.0,101,15004617
45.8,6.57,30.0,45.8,6.57,62.0,101,1085465263
45.93,6.93,35.0,45.93,6.93,49.0,101,484140798
