workLat,workLong,workTweets,homeLat,homeLong,homeTweets,#tweets,userID,homeCountry,workCountry,homeCanton,workCanton
47.41,9.19,25.0,47.41,9.19,41.0,100,70251991,Suisse,Suisse,Sankt Gallen,Sankt Gallen
46.07,6.57,15.0,46.08,6.57,15.0,100,283440943,France,France,-,-
47.37,8.54,54.0,47.37,8.54,20.0,100,304614459,Suisse,Suisse,Zürich,Zürich
46.2,6.16,50.0,46.2,6.16,34.0,100,1640784745,Suisse,Suisse,Genève,Genève
47.36,7.9,37.0,47.36,7.9,63.0,100,1384072519,Suisse,Suisse,Solothurn,Solothurn
47.2,8.45,79.0,47.2,8.45,16.0,100,2594880773,Suisse,Suisse,Zug,Zug
47.54,9.3,15.0,47.54,9.3,85.0,100,1286809488,Suisse,Suisse,Thurgau,Thurgau
47.38,8.54,67.0,47.38,8.54,30.0,100,522009835,Suisse,Suisse,Zürich,Zürich
46.36,6.66,26.0,46.36,6.66,30.0,100,552093991,France,France,-,-
46.23,7.36,28.0,46.23,7.37,17.0,100,453014694,Suisse,Suisse,Valais - Wallis,Valais - Wallis
47.56,7.58,24.0,47.56,7.58,76.0,100,1520740062,Suisse,Suisse,Basel-Stadt,Basel-Stadt
46.62,9.98,42.0,46.62,9.98,58.0,100,1000141590,Suisse,Suisse,Graubünden - Grigioni - Grischun,Graubünden - Grigioni - Grischun
47.2,5.94,68.0,47.2,5.94,29.0,100,353656867,France,France,-,-
46.19,6.74,13.0,46.2,6.77,11.0,100,489605957,France,France,-,-
45.84,8.8,21.0,45.84,8.8,28.0,100,139108165,Italia,Italia,-,-
47.4,8.62,68.0,47.4,8.62,32.0,100,540170698,Suisse,Suisse,Zürich,Zürich
47.55,7.59,31.0,47.55,7.59,69.0,100,298189251,Suisse,Suisse,Basel-Stadt,Basel-Stadt
47.66,6.88,40.0,47.66,6.88,37.0,100,3179405896,France,France,-,-
47.38,8.54,68.0,47.38,8.54,27.0,100,319524335,Suisse,Suisse,Zürich,Zürich
46.15,6.66,85.0,46.15,6.66,15.0,100,541946192,France,France,-,-
47.14,6.68,25.0,47.34,6.74,11.0,100,736829012190826496,France,France,-,-
47.38,8.54,49.0,47.38,8.54,20.0,100,527842264,Suisse,Suisse,Zürich,Zürich
47.63,6.04,61.0,47.63,6.04,34.0,100,2147772248,France,France,-,-
46.21,6.15,21.0,46.21,6.15,27.0,100,2356272791,Suisse,Suisse,Genève,Genève
46.05,6.42,23.0,46.05,6.42,28.0,100,583537204,France,France,-,-
45.93,6.6,46.0,45.93,6.6,17.0,100,441108054,France,France,-,-
47.71,9.15,32.0,47.71,9.15,68.0,100,3312148390,Deutschland,Deutschland,-,-
47.64,9.17,13.0,47.64,9.17,18.0,100,1498636076,Suisse,Suisse,Thurgau,Thurgau
47.41,6.29,48.0,47.41,6.29,44.0,100,2845067646,France,France,-,-
45.94,9.17,34.0,45.94,9.17,66.0,100,344910420,Italia,Italia,-,-
47.59,7.56,51.0,47.59,7.56,48.0,100,978109536,France,France,-,-
46.21,6.11,34.0,46.21,6.11,37.0,100,414918500,Suisse,Suisse,Genève,Genève
46.2,6.31,16.0,46.2,6.31,75.0,100,1043057948,France,France,-,-
47.38,8.54,19.0,47.39,8.62,16.0,100,23299229,Suisse,Suisse,Zürich,Zürich
47.38,8.54,16.0,47.38,8.54,12.0,100,2972939609,Suisse,Suisse,Zürich,Zürich
45.79,6.22,28.0,45.79,6.22,32.0,100,23298540,France,France,-,-
47.41,8.53,65.0,47.41,8.53,34.0,100,2984157329,Suisse,Suisse,Zürich,Zürich
46.23,6.14,48.0,46.21,6.15,19.0,101,138235597,Suisse,Suisse,Genève,Genève
47.55,6.81,41.0,47.55,6.81,49.0,101,584214954,France,France,-,-
47.56,7.58,30.0,47.56,7.58,69.0,101,3549601,Suisse,Suisse,Basel-Stadt,Basel-Stadt
47.05,8.8,40.0,47.05,8.8,52.0,101,599141002,Suisse,Suisse,Schwyz,Schwyz
47.2,5.94,57.0,47.2,5.94,44.0,101,337966870,France,France,-,-
47.65,6.86,14.0,47.63,6.92,54.0,101,135565487,France,France,-,-
46.34,6.44,50.0,46.34,6.44,51.0,101,1165294681,France,France,-,-
46.74,7.64,36.0,46.74,7.64,40.0,101,46361985,Suisse,Suisse,Bern - Berne,Bern - Berne
47.76,8.98,73.0,47.76,8.98,28.0,101,2932463801,Deutschland,Deutschland,-,-
