name,date,keywords,hashtags,longitude,latitude,# of tweets,# of people,tweetids,country
zhwahlen2010 ,2010-03-07,['zhwahlen2010'],['zhwahlen2010'],8.530788000000001,47.37158,10.0,3.0,"[10096142854, 10117661003, 10122712301, 10124037416, 10124148859, 10124186840, 10124802193, 10127808511, 10129433354, 10129662705]",CH
cern lhc ,2010-03-30,"['cern', '7tev', 'lhc']","['cern', 'lhc']",6.11743375,46.20650625,16.0,6.0,"[11290380524, 11290576184, 11291387514, 11291541004, 11295162351, 11296933840, 11296936609, 11297363491, 11301890225, 11302256007, 11302274361, 11302884476, 11302890274, 11304244018, 11326563366, 11334668568]",CH
fb ,2010-05-22,['fb'],['fb'],6.14172625,46.1966125,8.0,4.0,"[14473013419, 14477514037, 14477623268, 14479664759, 14482828341, 14493459591, 14513252936, 14521822183]",CH
gfsc2010 ,2010-05-29,['gfsc2010'],['gfsc2010'],6.14820272727,46.209563636400006,11.0,4.0,"[14958559754, 14959412920, 14963118521, 14963352835, 14963678835, 14963748662, 14963895838, 14964017226, 14967675906, 14975823053, 14983865880]",CH
bcbs10 ,2010-06-05,['bcbs10'],['bcbs10'],9.17045928571,47.6672071429,14.0,3.0,"[15474249596, 15475025339, 15476055767, 15477004193, 15477031617, 15477205459, 15479855480, 15480008395, 15480572229, 15487949297, 15489859233, 15492380781, 15501527660, 15503010521]",CH
mcw ,2010-06-12,['mcw'],['mcw'],8.534659285710001,47.3815714286,14.0,6.0,"[15989515737, 15990232708, 15990669914, 15993614069, 15995088804, 15995962233, 16000208855, 16001365448, 16010467882, 16010938888, 16023320244, 16027712895, 16027846994, 16032486107]",CH
worldcup ,2010-06-16,"['Swiss', 'worldcup']",['worldcup'],8.29481,47.0802125,8.0,3.0,"[16285080907, 16301206563, 16305938657, 16309852915, 16310739002, 16310796768, 16313528225, 16316837138]",CH
swisscrmforum ,2010-06-24,['swisscrmforum'],['swisscrmforum'],8.54392511628,47.40254418600001,43.0,15.0,"[16910610939, 16911022902, 16911067954, 16912113837, 16912660860, 16913721651, 16913740382, 16914019242, 16917044021, 16918521030, 16918639712, 16918737431, 16918922757, 16919251940, 16920508637, 16920815800, 16921144365, 16922244388, 16924403553, 16924608410, 16924731196, 16924804444, 16925668294, 16926722735, 16930330195, 16931689421, 16932191158, 16932282520, 16932440914, 16932654898, 16932824402, 16933812304, 16945334428, 16946047862, 16946814792, 16947592784, 16953407863, 16955248636, 16955883551, 16958032382, 16961059053, 16961340310, 16966110506]",CH
tedxzh ,2010-10-20,['tedxzh'],['tedxzh'],8.537404375,47.38289375,32.0,18.0,"[27905350406, 27905498744, 27905973911, 27906951742, 27908301450, 27908541952, 27908575327, 27909071596, 27909073455, 27909934482, 27910858785, 27914535861, 27915043703, 27915070820, 27915310079, 27916089009, 27925570888, 27926309899, 27927394519, 27928469038, 27928606242, 27929197398, 27929847260, 27930495797, 27930595633, 27931564154, 27932440700, 27945813293, 27949022229, 27950217077, 27951074056, 27955700946]",CH
bsl odhd ,2010-12-04,"['bsl', 'odhd']","['bsl', 'odhd']",7.602081,47.555609999999994,10.0,4.0,"[10952974876540928, 11008182243565568, 11012319802822656, 11021660421361664, 11023015101865984, 11034740245143552, 11034741528596480, 11059423850008576, 11080289631600640, 11095912491261953]",CH
jtz ,2010-12-17,['jtz'],['jtz'],7.45090125,46.9542,8.0,5.0,"[15660357943033856, 15682525850505217, 15730132622774272, 15734978952306688, 15735463641878528, 15750220604248064, 15762558866685952, 15887258729054209]",CH
gdi ,2011-01-26,['gdi'],['gdi'],8.545941875,47.3439375,48.0,20.0,"[30142407257366528, 30151818570899457, 30166411770863617, 30177296740524032, 30184247851487232, 30188279844315136, 30192484726349824, 30193005340135424, 30212874794176513, 30219754195124224, 30220036333371392, 30222550516637696, 30241772609212416, 30242505391865856, 30265137839480833, 30266263695532032, 30278365894148096, 30300148332498945, 30305028346478592, 30305888308822017, 30309657239097344, 30313121067307008, 30313835948679168, 30315141652283392, 30320573846396928, 30322377778794496, 30322639859875840, 30322966076063744, 30323734795522048, 30324787226091521, 30325084111507457, 30326467090980864, 30330333777891329, 30331624553975808, 30332042298265600, 30335737840795649, 30336058633756672, 30337005544017920, 30345033534152704, 30345681126293504, 30362122093330433, 30378808527818752, 30381803680301056, 30382925425942528, 30386199977791488, 30396256236871681, 30400316822257665, 30409517787250689]",CH
Davos ,2011-01-28,['Davos'],['Davos'],9.830378999999999,46.80243,10.0,7.0,"[30807924704018432, 30862285761150978, 30871097452789760, 30907644256456704, 30933767442927616, 30994564122677249, 31051719412555776, 31079697722900480, 31087089672003584, 31099446997557248]",CH
lift11 ,2011-02-02,['lift11'],['lift11'],6.1356083018900005,46.214154717,53.0,18.0,"[32673099715448832, 32693661368061952, 32695796881162240, 32699988223987712, 32707331603046400, 32707561530589184, 32707922467229696, 32708369848475649, 32713073986904064, 32714329082044416, 32714981518606336, 32715006457937920, 32715650459762689, 32730434102108160, 32732749760565248, 32735443753635840, 32742247225102336, 32751900315090944, 32752279434039296, 32752453438930944, 32753640854786048, 32757081769508864, 32757304503828480, 32760125148106753, 32760321965817856, 32768530415886336, 32769918864723968, 32772577885683712, 32773557670903808, 32774902679343105, 32776858961453056, 32788526110081024, 32789990807175168, 32797341895364608, 32806811769769984, 32819294152695808, 32819370291892224, 32837455862304769, 32839935270588416, 32847446065283073, 32849222852149248, 32853214764212225, 32854468420698112, 32855348704452608, 32856312186408960, 32859434342424576, 32860216039047169, 32868807680720896, 32872213577211904, 32874318652248064, 32874932748689408, 32886999245393921, 32915433468198913]",CH
lift11 ,2011-02-04,['lift11'],['lift11'],6.130398852459999,46.217373770500004,61.0,17.0,"[33327252603281408, 33411802943598592, 33418995323371521, 33434914237972480, 33435148494053376, 33439545991106560, 33446328843378688, 33451429846847488, 33455304146419713, 33470294857486336, 33475945595674624, 33477188753821696, 33477389661114368, 33478381064429569, 33480418598588416, 33480561574027264, 33480690771165184, 33483621209735168, 33484857350819840, 33487107884322816, 33487283021676544, 33487298372837376, 33489399140454400, 33493790383673344, 33505188610310144, 33505428499341312, 33506130458054657, 33506355218223104, 33506919901560832, 33510803483131904, 33520856474845184, 33523836771110912, 33524010885193728, 33530113274413057, 33537574853283840, 33539609279479808, 33540441169207296, 33543127721582593, 33545459410673664, 33547343026458624, 33556020907212800, 33556854764216321, 33557953717997568, 33558799474364416, 33559436672892929, 33561210414694400, 33568364404150272, 33568518322528257, 33569361302126592, 33570150447849472, 33582988625317888, 33589517256491008, 33594449317593089, 33594686744567808, 33594687059136512, 33599899006144520, 33603517973413888, 33610422149971968, 33619414590947328, 33648743525908480, 33673275280203776]",CH
scs11 ,2011-02-19,['scs11'],['scs11'],7.587510714289999,47.53971428569999,14.0,7.0,"[38893933643829249, 38899359529701377, 38903757047726080, 38925366852726784, 38929690806722560, 38953633349369856, 38955204183334912, 38955796402409472, 38957130723622912, 38975832286437376, 38978241293193217, 38979884952846336, 38981633562386432, 39058127529836545]",CH
spm ,2011-03-24,['spm'],['spm'],7.1554675,46.8009,8.0,5.0,"[50805832882987008, 50807190004580352, 50834140509126656, 50892162681946112, 50893157650534400, 50894256629493760, 50933940160180226, 50957977112412160]",CH
bosw ,2011-03-31,['bosw'],['bosw'],8.53558458015,47.3722099237,131.0,29.0,"[53325918994837505, 53341113230172160, 53347806018142209, 53347883948322817, 53351731341430784, 53352417592483840, 53358976871579648, 53364526011260928, 53371328115392512, 53372512612007936, 53376238399664128, 53378735491137536, 53382467108868096, 53387074627317760, 53388116345626624, 53388442813464576, 53388531522994176, 53388787589447680, 53389265257766912, 53391152581312512, 53391359616352257, 53391880284680192, 53392748522373120, 53393936634482688, 53396732150681600, 53397300806029312, 53397308779405312, 53397546034397185, 53402754806321153, 53406264193073152, 53406548495581184, 53408624466337792, 53415148421005313, 53417619818160129, 53452747378405376, 53455716987584512, 53458671946043393, 53461463137923072, 53465545856655360, 53465889911218176, 53469561172926464, 53469894318112768, 53470610671665152, 53470812036014080, 53471065015468032, 53471966157484032, 53475911034609664, 53477079370567681, 53479874215686144, 53484163982041088, 53485870069727232, 53487338755596288, 53487373182435329, 53489349840478208, 53489826305019904, 53491791793623041, 53491924753063936, 53494196551696385, 53494300989853696, 53495442377412608, 53495855382134784, 53496385961598977, 53496660340379648, 53497049240453120, 53497780357959681, 53498909095510016, 53499808530436096, 53500710880419842, 53500746787848192, 53500865759281152, 53500913834409984, 53500967735402496, 53502186906320896, 53503560389898240, 53504455852834816, 53505180183965696, 53505602462294017, 53506625666949120, 53506967980883968, 53507073685716992, 53508494543949825, 53508536793178112, 53510533919412224, 53511396658397184, 53511554934640640, 53511870090448896, 53516241146617856, 53518001219182592, 53518032118616064, 53519344898027520, 53520689654792192, 53521634887344128, 53522251982708736, 53522503871627264, 53522988464742400, 53524509860433920, 53524705398894592, 53525025466220544, 53525951715360768, 53526642437529600, 53527093329408000, 53527508708114432, 53527687507095552, 53528097181540352, 53528677350244352, 53528709164048384, 53529438377353216, 53530373568741376, 53530577705512960, 53531344122286080, 53532165325070336, 53532847943856129, 53532880080609280, 53533546777821184, 53535612472524801, 53535620626268160, 53542604872224768, 53543379702784000, 53543860449722368, 53544753639342080, 53545086574796800, 53545165557743616, 53545215843246081, 53545656157093888, 53545875250757632, 53547206992592896, 53550854162235392, 53565994936958976, 53570980735496192, 53587918828212227, 53590926907547648]",CH
FakeOwlCitySongTitles ,2011-04-26,['FakeOwlCitySongTitles'],['FakeOwlCitySongTitles'],6.147861499999999,46.23555,20.0,8.0,"[62763834963795968, 62769566970937345, 62779437090996224, 62797783731683328, 62824761155256320, 62855514823995393, 62862503650136064, 62888004653563904, 62889052130656256, 62897900010749952, 62898648668844032, 62901195517337600, 62906971719876608, 62913970054508545, 62916482593603584, 62916691952279552, 62917224972812289, 62917887471529984, 62917927552286720, 62971082960945152]",CH
SILF ,2011-04-29,['SILF'],['SILF'],6.14172033333,46.23581,30.0,10.0,"[63853715534258176, 63875010196021248, 63876156075671552, 63881615075573761, 63883726219788288, 63910094080974849, 63937730236776448, 63938051432386560, 63950995033559040, 63954474737217537, 63954968356462593, 63970689132146688, 63974131527454721, 63979319856340992, 63993843447631872, 63994049824174080, 63994164932657152, 63997457247387648, 63997761946791938, 64005426785689601, 64009113218195456, 64014612131094528, 64053823957770240, 64055233755623425, 64055363556753408, 64056631213826048, 64095243674460160, 64095599464677377, 64097432631382017, 64097749221642241]",CH
chtd ,2011-05-02,['chtd'],['chtd'],7.59550708333,47.560925,24.0,8.0,"[64920472218906624, 64947601493078016, 64947961347575809, 64948093304586241, 64949655699591168, 64949957744017408, 64951216387538944, 64958446767833088, 64959125691432960, 64968441043492864, 64969052652699648, 64971006665695232, 64971590034661377, 64974376637964288, 64982343315759104, 64987099601960960, 65009581797019648, 65031272392691712, 65033738899300352, 65040777511841793, 65073161808523264, 65077302656110592, 65085765994037249, 65122465730400257]",CH
BattesimoPupo ,2011-05-07,['BattesimoPupo'],['BattesimoPupo'],8.972079375,46.04678125,16.0,4.0,"[66765703872647169, 66773154617495552, 66773573867544576, 66775094604734464, 66775500365893632, 66787770722553856, 66788581687050240, 66795318397763584, 66798150886756352, 66844033640697856, 66852097093677056, 66862425806340096, 66871780727472128, 66872422724407296, 66895613832335360, 66902978652667904]",CH
cwmontreux ,2011-05-12,"['cwmontreux', 'Maxton']",['cwmontreux'],6.6295173913,46.5597608696,23.0,6.0,"[68534434529419264, 68535664509071360, 68536298125799425, 68549395183968256, 68574322628890624, 68576007807967232, 68576805845610497, 68577600318091264, 68577819667607552, 68578953954209792, 68582606446395392, 68584929851740160, 68585731135778816, 68586782161256448, 68589413613051904, 68599265118793728, 68607797478166528, 68629183563177984, 68644126421295104, 68703861141020672, 68711225315442688, 68724711059755009, 68782398787158016]",CH
Heimfahrt Velo ,2011-05-27,"['Heimfahrt', 'progress…', 'Velo', 'progress']","['Heimfahrt', 'Velo']",8.89322666667,47.1631809524,21.0,6.0,"[74066765881155584, 74083394664935425, 74135034868674560, 74159684453548033, 74187831232303104, 74189437055156224, 74191185706622976, 74192162396450816, 74193021457014784, 74193724736937984, 74194947032616960, 74195950805061632, 74197452651110400, 74198654977712128, 74198690180505600, 74199577288376322, 74201665854640128, 74202885080092672, 74204219338530817, 74204708952215552, 74205618185043968]",CH
odch11 ,2011-06-24,['odch11'],['odch11'],7.4440188461500005,46.94340769229999,26.0,6.0,"[84150578992779264, 84151945249554432, 84152450055024640, 84163662885040128, 84164688799219712, 84166726937350144, 84168175213740032, 84170822863949824, 84173786026479616, 84178262137389057, 84179751014637569, 84184972625317888, 84187145069268992, 84192588126621697, 84196096078909440, 84197408296271872, 84199121015152640, 84209257796485120, 84218296588701696, 84221863437402113, 84229711819051008, 84276411166240768, 84290211298816000, 84317378942468097, 84326233571205120, 84331088457121793]",CH
memonews dreinull ,2011-06-25,"['memonews', 'vetter', 'dreinull']","['memonews', 'dreinull']",9.15488777778,47.6584888889,9.0,3.0,"[84511566921338880, 84544437274947584, 84605489811431424, 84691043966128128, 84698712529571840, 84710567809527808, 84715888296734720, 84719608745037824, 84761896414228480]",CH
oasg ,2011-07-01,['oasg'],['oasg'],9.347843333330001,47.4225333333,15.0,4.0,"[86669969378639872, 86679421032996864, 86739176946540544, 86764108141174784, 86805623035011072, 86820220085354497, 86868273693601792, 86871075950043136, 86872913751449600, 86877792058359809, 86882539792375808, 86889237890338816, 86908432900300800, 86916800108953601, 86922236002435072]",CH
photo ,2011-07-03,"['Jazz', 'photo', '41']",['photo'],6.9038699999999995,46.4395692308,13.0,5.0,"[87354332269383680, 87354633688854528, 87354830305247232, 87355836858499072, 87472329021603840, 87474613260533761, 87475517154000898, 87513763854557184, 87556949666828288, 87590357201731584, 87621968463015936, 87638486429081600, 87648103238352896]",CH
wg2011 ,2011-07-10,['wg2011'],['wg2011'],6.640346000000001,46.528209999999994,10.0,5.0,"[89952653244764161, 89981913745457152, 90012465328422912, 90042727215005696, 90043945538691072, 90049896618532864, 90085191883821057, 90089266134261760, 90098135652777984, 90116952118403072]",CH
iliasconf ,2011-08-18,['iliasconf'],['iliasconf'],7.43225222222,46.9500185185,27.0,10.0,"[104079207251968000, 104086636282904577, 104104611807379456, 104105810124214272, 104106788999278593, 104107565910200320, 104108360483356672, 104108398311772160, 104111593457057792, 104112148480925696, 104124788427067392, 104129343843860480, 104132844447744002, 104149173187776512, 104204827206234112, 104205032982986753, 104208817075662848, 104210342317531136, 104211130414673920, 104213019294318592, 104215539433480193, 104237145656537088, 104242448657694720, 104243820333510657, 104273576823238656, 104283040678817792, 104290625473613824]",CH
